command= python3 -u /u/zjian1/ASTZ/py_code/generate_stencil_list.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 
Available threads: 16
Set threads to: 8
data_min:-1672.849365234375, data_max:14206.283203125
stencil=411, total_loss=0.00019557347332804152, total_rmsqb=0.0699237930407171
stencil=412, total_loss=0.00016566596796265576, total_rmsqb=0.06435564620968694
stencil=413, total_loss=0.00021405236047865786, total_rmsqb=0.07315264186593978
stencil=421, total_loss=0.00021369137828258853, total_rmsqb=0.07309093279651528
stencil=422, total_loss=0.0002043243007529414, total_rmsqb=0.0714710257294768
stencil=423, total_loss=0.0002113784719871597, total_rmsqb=0.07269430376363055
stencil=431, total_loss=0.0003117022200604428, total_rmsqb=0.08827545242880985
[44, 247, 518]
stencil=411, total_loss=0.00018848788396388146, total_rmsqb=0.07225836300339383
stencil=412, total_loss=0.000197692003371939, total_rmsqb=0.07400157282373208
stencil=413, total_loss=0.00024049337844734314, total_rmsqb=0.08162025752829119
stencil=421, total_loss=0.0002776161459240878, total_rmsqb=0.08769377371305032
stencil=422, total_loss=0.00020903575060858887, total_rmsqb=0.0760950984346435
stencil=423, total_loss=0.00019827323353128372, total_rmsqb=0.07411027822655049
stencil=431, total_loss=0.0004889422043961351, total_rmsqb=0.11637914497423708
[44, 247, 259]
stencil=411, total_loss=0.00023440479500110497, total_rmsqb=0.0848215177957431
stencil=412, total_loss=0.00020877324065985312, total_rmsqb=0.0800497924133767
stencil=413, total_loss=0.00025363711434439796, total_rmsqb=0.08823262407614946
stencil=421, total_loss=0.0003062886180719574, total_rmsqb=0.09695902126705203
stencil=422, total_loss=0.00020435622854780088, total_rmsqb=0.07919845934240301
stencil=423, total_loss=0.00019047797016126817, total_rmsqb=0.07646191502445351
stencil=431, total_loss=0.0003368385624033618, total_rmsqb=0.10167956892433384
[44, 247, 259]
stencil=223, total_loss=0.00023738572240372688, total_rmsqb=0.08985173877532564
stencil=251, total_loss=0.00022344352076784498, total_rmsqb=0.08717321662213302
stencil=261, total_loss=0.0002114775511737893, total_rmsqb=0.08480692663784366
[44, 247, 259]
stencil=131, total_loss=0.00030717748460080046, total_rmsqb=0.10758959508737696
[22, 124, 130]
stencil=411, total_loss=0.00024247953100314592, total_rmsqb=0.10062120630005594
stencil=412, total_loss=0.00019499211073440651, total_rmsqb=0.0902319822261705
stencil=413, total_loss=0.00029786814655913274, total_rmsqb=0.11152288852244095
stencil=421, total_loss=0.0002646949460625697, total_rmsqb=0.10512954928459203
stencil=422, total_loss=0.0002966583791501381, total_rmsqb=0.11129618750603673
stencil=423, total_loss=0.0004759538461872638, total_rmsqb=0.14097249892099595
stencil=431, total_loss=0.00034464662647836034, total_rmsqb=0.1199607006891345
[22, 62, 130]
stencil=411, total_loss=0.000405479814109397, total_rmsqb=0.1369660691607888
stencil=412, total_loss=0.00030940766666735586, total_rmsqb=0.1196448220062323
stencil=413, total_loss=0.0002059096171747899, total_rmsqb=0.09760379142430405
stencil=421, total_loss=0.0003611264826560944, total_rmsqb=0.12925818147235246
stencil=422, total_loss=0.000417547647346314, total_rmsqb=0.13898930814320506
stencil=423, total_loss=0.0004398505609669203, total_rmsqb=0.14265301260418503
stencil=431, total_loss=0.00035888552195271264, total_rmsqb=0.12885650326243364
[11, 62, 130]
stencil=411, total_loss=0.00013846970770027228, total_rmsqb=0.08425237557045054
stencil=412, total_loss=0.0003643583661244173, total_rmsqb=0.13666872418964746
stencil=413, total_loss=0.00038633100217968423, total_rmsqb=0.14072930654639967
stencil=421, total_loss=0.0004075032488333393, total_rmsqb=0.14453409420400865
stencil=422, total_loss=0.00039398822453516857, total_rmsqb=0.1421171168317802
stencil=423, total_loss=0.00021692787843802616, total_rmsqb=0.10545385286083284
stencil=431, total_loss=0.00029701757689012503, total_rmsqb=0.12339451140427841
[11, 62, 65]
stencil=411, total_loss=0.0001320937659507818, total_rmsqb=0.08662082644608143
stencil=412, total_loss=0.00013914289815607453, total_rmsqb=0.08890203136032232
stencil=413, total_loss=0.00016389639604518533, total_rmsqb=0.09648634694667821
stencil=421, total_loss=0.000884402324468009, total_rmsqb=0.2241331525267909
stencil=422, total_loss=0.00030204599130368933, total_rmsqb=0.13098383451883244
stencil=423, total_loss=0.0007373260375365731, total_rmsqb=0.2046496222446339
stencil=431, total_loss=0.0002755983852912962, total_rmsqb=0.12511791437410785
[11, 62, 33]
stencil=411, total_loss=0.0001319679045201134, total_rmsqb=0.09113636803486495
stencil=412, total_loss=0.00017875191034374106, total_rmsqb=0.10606763920316319
stencil=413, total_loss=0.00021363112925551467, total_rmsqb=0.11595509200524275
stencil=421, total_loss=0.0005530782580513289, total_rmsqb=0.18657388286526055
stencil=422, total_loss=0.0005063938011787666, total_rmsqb=0.1785261121044752
stencil=423, total_loss=0.0007888630327624968, total_rmsqb=0.22282214937290173
stencil=431, total_loss=0.00024930054665373876, total_rmsqb=0.12526195112328645
[11, 62, 17]
stencil=411, total_loss=0.0002394507586934199, total_rmsqb=0.1292236667746094
stencil=412, total_loss=0.00017988503071720717, total_rmsqb=0.11200346637603044
stencil=413, total_loss=0.00021145599551775673, total_rmsqb=0.12143502125308174
stencil=421, total_loss=0.000549445616387787, total_rmsqb=0.19574753773068287
stencil=422, total_loss=0.00030604577782990656, total_rmsqb=0.14609223985772862
stencil=423, total_loss=0.00034183544089935855, total_rmsqb=0.1543982932518815
stencil=431, total_loss=0.00028496985799251746, total_rmsqb=0.14097217957511524
[11, 31, 17]
stencil=411, total_loss=0.000591931198318247, total_rmsqb=0.21386807548578188
stencil=412, total_loss=0.00013769951548622155, total_rmsqb=0.10315173858054781
stencil=413, total_loss=0.0002630502831886231, total_rmsqb=0.1425705197966944
stencil=421, total_loss=0.00027771515502719295, total_rmsqb=0.14649072762591947
stencil=422, total_loss=0.0007764802429347003, total_rmsqb=0.2449489324794431
stencil=423, total_loss=0.00027316082667448835, total_rmsqb=0.14528459107414973
stencil=431, total_loss=0.00032630753402368895, total_rmsqb=0.1587902735084964
[11, 16, 17]
stencil=411, total_loss=0.00016596407499137997, total_rmsqb=0.11920481161271607
stencil=412, total_loss=0.0001452497036733259, total_rmsqb=0.11151784499496675
stencil=413, total_loss=0.00022148300578618644, total_rmsqb=0.137707294295008
stencil=421, total_loss=0.0002535415139604122, total_rmsqb=0.14733681604949378
stencil=422, total_loss=0.000775524559505483, total_rmsqb=0.2576822587672492
stencil=423, total_loss=0.0003167829139435545, total_rmsqb=0.16469014637851487
stencil=431, total_loss=0.0007650852994931488, total_rmsqb=0.25594206497915395
[11, 8, 17]
stencil=411, total_loss=0.0002304596590324187, total_rmsqb=0.14786336760623214
stencil=412, total_loss=0.00015540056385159176, total_rmsqb=0.12141977694289384
stencil=413, total_loss=0.0001983311754969049, total_rmsqb=0.13716983888944964
stencil=421, total_loss=0.0002937257368728597, total_rmsqb=0.1669299012924232
stencil=422, total_loss=0.000793219008978377, total_rmsqb=0.2743214023162464
stencil=423, total_loss=0.00030475923860514604, total_rmsqb=0.1700362723578804
stencil=431, total_loss=0.0006361067452342655, total_rmsqb=0.2456564298980612
[11, 4, 17]
stencil=411, total_loss=0.00014458945301990935, total_rmsqb=0.12328431818912143
stencil=412, total_loss=0.00025848173781445154, total_rmsqb=0.1648369092360078
stencil=413, total_loss=0.00022094319924453778, total_rmsqb=0.15239820418267944
stencil=421, total_loss=0.0006637802610846715, total_rmsqb=0.2641506581442663
stencil=422, total_loss=0.0003627307713031769, total_rmsqb=0.1952682930987455
stencil=423, total_loss=0.0003408724100801957, total_rmsqb=0.18929339303116932
stencil=431, total_loss=0.00024179681592310467, total_rmsqb=0.15942808117182838
[11, 4, 9]
stencil=411, total_loss=0.00027848116971634245, total_rmsqb=0.1801000536685096
stencil=412, total_loss=0.00023767074533537322, total_rmsqb=0.1663810225480907
stencil=413, total_loss=0.0007532156443083158, total_rmsqb=0.29619354585036306
stencil=421, total_loss=0.00027823650721207406, total_rmsqb=0.18002092190421612
stencil=422, total_loss=0.0005225425987851386, total_rmsqb=0.24670433193154748
stencil=423, total_loss=0.00038808707184004554, total_rmsqb=0.21260844581804705
stencil=431, total_loss=0.00024293617417032903, total_rmsqb=0.1682139538218467
[11, 2, 9]
stencil=411, total_loss=0.0001890956959191789, total_rmsqb=0.15621874395245228
stencil=412, total_loss=0.00014932994686421894, total_rmsqb=0.13882439036909888
stencil=413, total_loss=0.00011582914157770574, total_rmsqb=0.12226474279776815
stencil=421, total_loss=0.0001878943120207742, total_rmsqb=0.1557217000384773
stencil=422, total_loss=0.00022391864221613363, total_rmsqb=0.169995508035225
stencil=423, total_loss=0.0004394408141341165, total_rmsqb=0.23814557431766378
stencil=431, total_loss=0.0003146030897394233, total_rmsqb=0.20149942514552016
[6, 2, 9]
stencil=411, total_loss=0.0003377352323797014, total_rmsqb=0.21976417579075308
stencil=412, total_loss=0.00020835263033707935, total_rmsqb=0.17261089650798755
stencil=413, total_loss=0.0002460982029636701, total_rmsqb=0.18759572428956228
stencil=421, total_loss=0.0003308055081194447, total_rmsqb=0.21749790623584087
stencil=422, total_loss=0.00017860513781347583, total_rmsqb=0.15981431892618522
stencil=423, total_loss=0.0002941437245857331, total_rmsqb=0.2050918998287143
stencil=431, total_loss=0.00038169408799149096, total_rmsqb=0.23362882838569504
[6, 2, 9]
stencil=222, total_loss=0.00015637559408787638, total_rmsqb=0.1574090128841611
stencil=252, total_loss=0.0002565142049482374, total_rmsqb=0.20160477731315396
stencil=262, total_loss=0.00016534136551799196, total_rmsqb=0.16185863336705816
[3, 2, 5]
stencil=411, total_loss=0.00037997526427110034, total_rmsqb=0.2582849890694964
stencil=412, total_loss=0.0004633508977435884, total_rmsqb=0.2852177228860684
stencil=413, total_loss=3.8850597775308415e-05, total_rmsqb=0.08258864798786468
stencil=421, total_loss=9.531385022337022e-05, total_rmsqb=0.12935985214398424
stencil=422, total_loss=0.00013029740445993164, total_rmsqb=0.15124791140176272
stencil=423, total_loss=0.0001527645787143189, total_rmsqb=0.16376942990402488
stencil=431, total_loss=0.00020544886589050294, total_rmsqb=0.18992117039154
[2, 2, 5]
stencil=411, total_loss=0.00014519656542688608, total_rmsqb=0.16806453191632612
stencil=412, total_loss=7.636493683094159e-05, total_rmsqb=0.12188349440808477
stencil=413, total_loss=1.0890210432989988e-05, total_rmsqb=0.0460273566875454
stencil=421, total_loss=0.0005351148235301176, total_rmsqb=0.3226423627866251
stencil=422, total_loss=0.00018817063472751115, total_rmsqb=0.1913259257941721
stencil=423, total_loss=7.082886683444183e-05, total_rmsqb=0.11738241637217323
stencil=431, total_loss=0.00024534789845347403, total_rmsqb=0.21846862218931348
[1, 2, 5]
stencil=211, total_loss=3.051620842597913e-06, total_rmsqb=0.02564717761874947
stencil=213, total_loss=6.658457410098477e-05, total_rmsqb=0.11980118293473413
stencil=231, total_loss=0.00019088747481314035, total_rmsqb=0.20284439403104834
[1, 2, 3]
stencil=211, total_loss=1.0342251925976598e-06, total_rmsqb=0.01571658711918887
