rel_eb,ASTZ_CR,ASTZ_PSNR,HPEZ_CR,HPEZ_PSNR,SZ3_CR,SZ3_PSNR,ZFP_CR,ZFP_PSNR,cuSZp_CR,cuSZp_PSNR
5.0e-02,131.039,23.769,101.455,25.242,,,10.837,40.538,25.425,24.025
2.0e-02,53.461,30.259,42.182,31.628,,,8.407,44.820,18.384,30.621
1.0e-02,33.391,35.348,27.936,36.799,,,6.640,48.445,14.443,34.842
9.0e-03,30.579,35.547,26.301,37.680,,,6.640,48.445,14.100,35.498
8.0e-03,28.977,36.341,24.837,38.467,,,6.356,48.781,13.755,36.126
7.0e-03,26.655,36.135,23.442,39.423,,,5.206,51.936,13.275,37.304
6.0e-03,23.875,38.448,22.099,40.517,,,5.187,51.937,12.644,38.572
5.0e-03,22.200,40.537,20.322,41.772,,,5.089,51.980,11.978,39.998
4.5e-03,21.030,42.004,19.590,42.466,,,5.089,51.980,11.647,40.938
4.0e-03,20.241,44.961,18.866,43.232,,,4.919,52.147,11.338,42.404
3.5e-03,19.214,45.301,18.060,44.164,,,4.088,56.464,11.064,42.841
